category_list,funding_total_usd,country_code,state_code,funding_rounds,target,founded_year,first_funding_year,last_funding_year
Hospitality,5000.0,USA,MA,1,1,2013.0,2014.0,2014
Curated Web,2000000.0,USA,CA,1,0,2010.0,2011.0,2011
Cloud Computing,11410828.0,USA,UT,2,1,2012.0,2013.0,2015
Business Services,8100000.0,CHN,22,1,1,2010.0,2014.0,2014
Mobile,8000000.0,CHN,,2,1,1991.0,2014.0,2015
Advertising,2000000.0,,,1,1,2006.0,2008.0,2008
Video Games,2000000.0,USA,CA,2,1,2010.0,2012.0,2013
Biotechnology,224071696.0,USA,PA,5,1,2007.0,2008.0,2012
B2B,20000.0,ITA,20,1,1,2013.0,2013.0,2013
Hardware + Software,130000.0,KOR,11,1,1,2010.0,2015.0,2015
Collaboration,1597440.0,ESP,7,1,1,2011.0,2012.0,2012
Biotechnology,2031932.0,JPN,40,5,1,2013.0,2013.0,2014
Manufacturing,2000000.0,USA,CA,1,1,2010.0,2007.0,2007
Biotechnology,24500000.0,USA,MA,2,1,2010.0,2008.0,2010
Biotechnology,9749590.0,USA,PA,5,1,2007.0,2009.0,2012
Pharmaceuticals,2000000.0,USA,IL,1,1,2010.0,2004.0,2004
Health and Wellness,26714063.3515108,DEU,1,1,1,2004.0,2015.0,2015
Biotechnology,21935000.0,USA,MI,4,1,2003.0,2011.0,2014
Hardware,44310000.0,USA,TX,4,1,2001.0,2004.0,2014
Healthcare Services,112500.0,,,2,1,2010.0,2014.0,2015
Biotechnology,80000.0,USA,CA,1,1,2011.0,2015.0,2015
Biotechnology,59760000.0,CHE,25,2,1,2004.0,2007.0,2009
Health Care,6533492.0,GBR,,1,1,1924.0,2014.0,2014
Biotechnology,6695000.0,USA,TN,7,1,2010.0,2012.0,2014
Biotechnology,33509621.0,USA,TX,6,1,2010.0,2009.0,2014
Medical Devices,500000.0,GBR,H9,1,1,2010.0,2007.0,2007
Biotechnology,8500000.0,USA,OR,2,1,2005.0,2012.0,2013
Energy,2330000.0,USA,TX,3,1,2012.0,2012.0,2014
Music,70000.0,USA,OR,1,1,2012.0,2013.0,2013
Alumni,12500.0,,,1,0,2010.0,2015.0,2015
Biotechnology,6182936.0,USA,OK,4,1,2011.0,2012.0,2015
Hardware,4000000.0,CAN,ON,1,1,2010.0,2014.0,2014
Biotechnology,10858541.0,USA,TX,5,1,2006.0,2011.0,2014
Curated Web,55600000.0,USA,CT,2,0,2008.0,2007.0,2008
Health Care,3114157.0,USA,CA,1,1,1980.0,2014.0,2014
unknown,2000000.0,,,2,1,1973.0,2012.0,2013
Advertising,4000000.0,USA,UT,3,1,2014.0,2014.0,2015
Mobile,43689.0,CAN,QC,1,1,2012.0,2013.0,2013
unknown,2000000.0,USA,IL,1,1,2012.0,2013.0,2013
Biotechnology,4596738.35876011,GBR,J1,1,1,2003.0,2015.0,2015
Games,11700.0,SGP,,1,1,2011.0,2013.0,2013
Broadcasting,11200000.0,FRA,A8,1,1,2010.0,2015.0,2015
Biotechnology,713882.0,GBR,I7,2,1,2010.0,2010.0,2012
Biotechnology,765800.0,LVA,25,2,1,2006.0,2010.0,2013
E-Commerce,120000.0,USA,CA,1,1,2013.0,2014.0,2014
unknown,2000000.0,USA,VA,1,1,2006.0,2009.0,2009
Babies,10000.0,NGA,5,1,1,2013.0,2013.0,2013
Social Media,1000000.0,USA,CA,1,1,2008.0,2012.0,2012
Messaging,5400000.0,SWE,26,1,1,2005.0,2008.0,2008
E-Commerce,450000.0,,,1,1,2012.0,2012.0,2012
Health Care,5000000.0,USA,MA,1,0,2009.0,2011.0,2011
Hardware + Software,3326424.0,USA,WA,2,1,2014.0,2014.0,2015
Curated Web,3150000.0,USA,NY,2,1,2012.0,2012.0,2014
Biotechnology,39500000.0,USA,MA,2,1,2001.0,2003.0,2004
Entertainment,2000000.0,CHN,22,1,1,2013.0,2014.0,2014
Application Platforms,74036.0,CZE,88,3,1,2013.0,2013.0,2014
Advertising,11237305.0,USA,CA,4,1,2010.0,2011.0,2015
Journalism,2000000.0,USA,CA,1,1,2013.0,2013.0,2013
Photography,300000.0,ISR,5,1,1,2012.0,2013.0,2013
Biotechnology,357060.0,GBR,K7,1,1,2010.0,2011.0,2011
Clean Technology,2927450.0,USA,PA,3,1,2009.0,2011.0,2015
Clean Technology,3150000.0,NOR,2,1,1,2010.0,2008.0,2008
Finance,30000000.0,USA,FL,1,1,2015.0,2015.0,2015
Engineering Firms,2000000.0,USA,CA,1,1,2010.0,2012.0,2012
unknown,2000000.0,USA,AL,1,1,2010.0,2013.0,2013
Kids,1500000.0,IND,2,1,1,2014.0,2007.0,2007
Social Media,2850000.0,USA,NY,3,1,2013.0,2012.0,2015
Education,2000000.0,USA,NY,1,1,2013.0,2013.0,2013
Location Based Services,102500000.0,CHN,22,3,1,2011.0,2011.0,2014
Education,480000.0,USA,CA,1,0,2009.0,2009.0,2009
Digital Media,1200000.0,IND,19,2,1,2014.0,2014.0,2015
Social Media,8371002.0,DNK,17,2,1,2006.0,2011.0,2014
Online Travel,151959528.0,GBR,H9,3,1,1996.0,2014.0,2015
E-Commerce,2000000.0,,,1,1,2006.0,2010.0,2010
Babies,2000000.0,TUR,34,1,1,2013.0,2013.0,2013
Comparison Shopping,165000.0,USA,NY,1,1,2010.0,2013.0,2013
Apps,500000.0,USA,CA,1,1,2015.0,2015.0,2015
Social Media,425000.0,USA,CA,3,1,2011.0,2012.0,2014
unknown,2000000.0,AUS,8,1,1,2014.0,2015.0,2015
Commercial Real Estate,250000.0,CAN,ON,1,1,2014.0,2014.0,2014
Messaging,657000.0,MCO,,1,1,1992.0,2007.0,2007
Enterprise Software,1840000.0,USA,NY,2,1,2011.0,2013.0,2013
Software,5500000.0,IND,16,1,1,1984.0,2010.0,2010
Software,760489.0,USA,OH,1,1,2005.0,2012.0,2012
Health and Wellness,2000000.0,USA,UT,1,1,2005.0,2008.0,2008
Creative,1330451.0,,,2,1,2010.0,2011.0,2012
Development Platforms,2000000.0,USA,OH,1,1,2011.0,2012.0,2012
Video,45039.0,KOR,11,1,1,2013.0,2013.0,2013
unknown,5000000.0,,,1,1,2010.0,2015.0,2015
Curated Web,2000000.0,FRA,A8,2,1,2006.0,2006.0,2008
Real Estate,2000000.0,USA,CA,1,1,2000.0,2014.0,2014
Application Platforms,234615.0,ESP,56,1,0,2014.0,2015.0,2015
Ad Targeting,2378808.0,,,1,1,2010.0,2015.0,2015
Software,699000.0,FRA,A8,1,1,1999.0,2006.0,2006
Entertainment,135668.0,FRA,A8,2,0,2009.0,2009.0,2013
Baby Safety,16335.0,USA,NY,1,1,2011.0,2014.0,2014
Finance,3143047.0,GBR,H9,1,1,2015.0,2015.0,2015
Consumer Goods,56059.0,ITA,5,1,0,2015.0,2014.0,2014
Apps,850000.0,USA,DE,2,1,2013.0,2014.0,2014
unknown,2000000.0,,,1,1,2009.0,2011.0,2011
DIY,612329.0,FRA,A8,2,1,2013.0,2013.0,2013
Finance,440000.0,URY,,2,1,2013.0,2013.0,2014
Art,1300000.0,USA,NY,1,1,2014.0,2015.0,2015
Software,2000000.0,USA,CA,1,1,2014.0,2014.0,2014
Banking,1800000.0,GBR,H9,1,1,2013.0,2015.0,2015
Telecommunications,32000000.0,USA,WA,1,1,2010.0,2002.0,2002
Curated Web,2000000.0,USA,CA,1,1,2002.0,2013.0,2013
unknown,10000.0,,,1,0,2015.0,2015.0,2015
Enterprise Software,48047540.0,USA,PA,7,1,2008.0,2008.0,2013
Mobile,2000000.0,GBR,H9,1,1,2010.0,2014.0,2014
Bitcoin,300000.0,USA,CA,2,1,2013.0,2014.0,2014
Software,1000000.0,CAN,BC,2,1,1998.0,2009.0,2013
Peer-to-Peer,500000.0,HKG,,1,1,2014.0,2014.0,2014
Curated Web,7791178.0,GBR,U8,2,1,2008.0,2013.0,2015
Software,30900000.0,JPN,40,3,1,2012.0,2013.0,2015
Advertising,2000000.0,USA,CA,1,1,2010.0,2015.0,2015
Financial Services,1991592.0,GBR,C3,3,1,2013.0,2014.0,2015
Curated Web,10000000.0,IND,16,1,1,2010.0,2013.0,2013
Android,144439.0,GBR,F2,2,1,2011.0,2011.0,2011
unknown,2000000.0,ARE,3,1,1,2010.0,2014.0,2014
Finance,2000000.0,IND,25,1,1,2011.0,2012.0,2012
Real Estate,113000000.0,USA,CA,3,1,2010.0,2014.0,2015
Fantasy Sports,1314060.0,,,1,1,2010.0,2015.0,2015
Freelancers,1500.0,BGD,81,1,1,2010.0,2011.0,2011
Mobile Commerce,1500000.0,AUS,2,1,1,2011.0,2015.0,2015
Finance,50000000.0,USA,UT,2,1,2010.0,2014.0,2015
Finance,49673284.0,GBR,N1,1,1,2010.0,2008.0,2008
Finance,22806526.3474125,ITA,9,4,1,2011.0,2011.0,2015
Credit,16249.0,DEU,2,1,1,2014.0,2015.0,2015
E-Commerce,3000000.0,HKG,,1,1,2012.0,2014.0,2014
E-Commerce,265000.0,FRA,A8,1,1,2012.0,2012.0,2012
Financial Services,2000000.0,USA,NY,1,1,2010.0,2013.0,2013
E-Commerce,2000000.0,RUS,48,1,1,2004.0,2004.0,2004
Finance,9000000.0,RUS,48,2,1,2011.0,2013.0,2015
unknown,1000000.0,RUS,48,1,1,2010.0,2014.0,2014
Finance,1731783.0,DEU,7,3,1,2012.0,2012.0,2014
Apps,300000.0,MEX,4,1,1,2010.0,2011.0,2011
Startups,2000000.0,,,1,1,2010.0,2014.0,2014
Finance,2000000.0,FRA,A8,1,1,2013.0,2012.0,2012
Mobile,650000.0,USA,UT,1,1,2010.0,2012.0,2012
Billing,3637012.0,POL,,3,1,2014.0,2014.0,2014
Insurance,2000000.0,SGP,,1,1,2011.0,2015.0,2015
Software,1396524.0,GBR,F2,1,1,2000.0,2014.0,2014
Analytics,183687.0,GBR,H9,1,1,2006.0,2006.0,2006
Billing,3700000.0,USA,CA,2,1,2012.0,2015.0,2015
Education,100000.0,USA,IL,1,1,2008.0,2013.0,2013
Bitcoin,2000000.0,FRA,A8,1,1,2015.0,2015.0,2015
Banking,1600000.0,JPN,40,2,0,2012.0,2013.0,2015
Credit,1400000.0,UKR,12,2,1,2013.0,2013.0,2015
Agriculture,1286600.0,IRL,20,1,1,2011.0,2013.0,2013
Cloud Computing,311100000.0,USA,NY,8,1,2007.0,2008.0,2015
Cloud Computing,6417000.0,USA,CA,2,1,2011.0,2011.0,2012
Big Data,30000.0,USA,PA,2,1,2014.0,2014.0,2014
Personal Finance,998000.0,,,2,1,2010.0,2013.0,2014
Financial Services,1450000.0,GBR,H9,1,1,2014.0,2015.0,2015
FinTech,1450000.0,GBR,H9,1,1,2014.0,2015.0,2015
Finance,5120000.0,GBR,H9,3,1,2013.0,2013.0,2014
Fashion,1265469.0,,,1,1,2013.0,2015.0,2015
Biotechnology,3000000.0,GBR,J8,1,1,2005.0,2015.0,2015
unknown,200000.0,GBR,Q4,1,0,2014.0,2015.0,2015
E-Commerce,2000000.0,USA,TX,1,1,2011.0,2012.0,2012
unknown,2000000.0,USA,NY,1,1,2010.0,1998.0,1998
Mobile,232329416.0,GBR,H9,4,1,2003.0,2010.0,2014
Energy Efficiency,40000.0,CHL,12,1,1,2013.0,2014.0,2014
Software,65000.0,IRL,7,2,1,2012.0,2013.0,2013
Medical,100000.0,USA,CO,1,1,2011.0,2013.0,2013
Curated Web,16000000.0,USA,NY,2,1,2010.0,2006.0,2006
Social Media,3850000.0,AUS,7,1,1,2010.0,2008.0,2008
Consumer Electronics,35000.0,USA,OH,1,1,2002.0,2014.0,2014
Analytics,2000000.0,USA,MA,1,0,2010.0,2010.0,2010
Games,2000000.0,,,1,1,2010.0,2009.0,2009
Games,40000.0,CHL,12,1,1,2011.0,2012.0,2012
unknown,2000000.0,DEU,13,1,1,2013.0,2013.0,2013
Advertising,79248.0,GBR,K2,1,1,2012.0,2012.0,2012
Artificial Intelligence,675000.0,USA,CA,3,1,2013.0,2014.0,2015
Games,1000000.0,USA,VA,1,1,2010.0,2008.0,2008
Kids,2000000.0,USA,CA,3,1,2014.0,2014.0,2015
E-Commerce,4616139.0,,,1,1,2010.0,2011.0,2011
Mobile,10606760.0,GBR,V2,1,1,1997.0,2014.0,2014
E-Commerce,1168000.0,JPN,40,6,1,2010.0,2010.0,2013
iPad,1240000.0,USA,CA,2,0,2012.0,2012.0,2012
Fashion,968000.0,USA,CA,3,1,2013.0,2014.0,2015
Language Learning,25000.0,ESP,56,1,1,2010.0,2014.0,2014
Web Tools,18584.0,NLD,7,1,1,2010.0,2012.0,2012
Semiconductors,3200000.0,,,1,1,2013.0,2013.0,2013
Semiconductors,16700000.0,USA,CA,1,1,2010.0,2002.0,2002
Therapeutics,2105100.0,USA,CA,1,1,2010.0,2015.0,2015
Design,1237853.0,,,2,1,2011.0,2012.0,2013
Web Hosting,28250000.0,,,3,1,2010.0,2003.0,2006
Software,319647.0,USA,MA,1,1,2010.0,2010.0,2010
Banking,34000000.0,USA,IL,2,1,2004.0,2014.0,2015
Health Care,1800000.0,USA,IN,1,0,2010.0,2014.0,2014
Software,2049999.0,USA,OK,1,1,2009.0,2014.0,2014
Hardware + Software,2000000.0,USA,GA,1,1,2012.0,2014.0,2014
Consumer Goods,159790.0,GBR,H9,1,1,2010.0,2014.0,2014
E-Commerce,3049999.0,USA,OR,1,1,1998.0,2013.0,2013
Application Platforms,1174745.0,JPN,40,1,1,2010.0,2014.0,2014
Analytics,10000000.0,USA,CA,1,1,2011.0,2011.0,2011
Design,7200000.0,,,1,1,2010.0,2014.0,2014
Computers,2000000.0,,,2,0,2011.0,2011.0,2011
Health and Wellness,460000.0,USA,TX,2,0,2010.0,2009.0,2011
Games,400000.0,USA,TX,2,1,2009.0,2009.0,2011
Analytics,999984.0,USA,PA,1,1,2010.0,2012.0,2012
Software,2000000.0,USA,CA,1,1,2012.0,2012.0,2012
Enterprise Software,14700000.0,USA,WI,3,1,2007.0,2010.0,2014
Semiconductors,21930000.0,CHN,23,7,1,2004.0,2006.0,2010
Games,437500.0,USA,NY,1,1,2011.0,2012.0,2012
Semiconductors,26300000.0,USA,CA,1,1,2010.0,2006.0,2006
Software,24766667.0,USA,CA,2,1,2010.0,2006.0,2009
Games,7000000.0,,,1,0,2010.0,2008.0,2008
Hospitals,3500000.0,USA,NY,1,1,2010.0,2014.0,2014
Software,35200000.0,USA,CA,2,1,1997.0,2000.0,2003
Health Care,77468460.0,USA,MN,9,1,1999.0,2009.0,2014
Games,1826030.05848369,GBR,H9,1,1,2003.0,2015.0,2015
Education,1000000.0,USA,SD,2,1,2006.0,2014.0,2015
Finance,2000000.0,CAN,ON,1,1,2003.0,2013.0,2013
Curated Web,1000000.0,USA,IL,1,0,2012.0,2012.0,2012
Curated Web,2000000.0,USA,VA,2,1,2011.0,2011.0,2012
Exercise,827500.0,USA,CA,1,1,2011.0,2011.0,2011
Consulting,2000000.0,USA,FL,1,1,2014.0,2015.0,2015
Software,200000.0,USA,OR,1,1,2010.0,2011.0,2011
Photography,16854.0,,,1,0,2015.0,2015.0,2015
Games,3250000.0,GBR,J8,1,0,2005.0,2009.0,2009
Banking,447883.0,NLD,11,1,1,2014.0,2015.0,2015
Business Services,9717821.0,GBR,H9,2,1,2004.0,2006.0,2015
Manufacturing,52000000.0,USA,MA,3,0,2010.0,2007.0,2010
Curated Web,20000.0,,,1,1,2010.0,2009.0,2009
3D,2000000.0,,,1,1,2015.0,2015.0,2015
Apps,167450.0,CAN,ON,1,1,2014.0,2015.0,2015
Education,10591238.0,USA,MD,3,1,2005.0,2010.0,2011
Apps,31205.0,GBR,H9,1,1,2014.0,2015.0,2015
Consumer Goods,472422.0,PRT,22,1,1,2010.0,2014.0,2014
Music,187000.0,USA,MA,1,1,2012.0,2013.0,2013
Social Media,100000.0,USA,OK,1,1,2012.0,2013.0,2013
Android,20000.0,AUS,7,1,1,2013.0,2014.0,2014
Analytics,10000.0,,,1,1,2014.0,2014.0,2014
Shopping,572283.0,ESP,51,1,1,2011.0,2012.0,2012
Consumer Electronics,100000.0,USA,NY,1,1,2008.0,2008.0,2008
Analytics,21300000.0,USA,CA,2,1,2011.0,2013.0,2014
Fashion,2000000.0,USA,NJ,1,1,2011.0,2011.0,2011
Financial Services,2000000.0,SGP,,1,1,2013.0,2015.0,2015
Colleges,2000000.0,ISR,5,1,1,2012.0,2012.0,2012
Media,5.0,CAN,NS,1,1,2015.0,2015.0,2015
Space Travel,31500000.0,USA,CA,3,1,2010.0,2010.0,2014
Computers,37539.0,NOR,16,3,1,2013.0,2013.0,2015
Fashion,20000000.0,CHN,23,1,1,2007.0,2010.0,2010
Payments,2000000.0,USA,SC,1,1,2012.0,2012.0,2012
Games,6000000.0,,,1,0,2010.0,2007.0,2007
Game,15000000.0,IND,19,1,1,2013.0,2015.0,2015
Design,2250000.0,GBR,H9,2,1,2000.0,2010.0,2011
Algorithms,4000000.0,USA,NY,3,1,2009.0,2013.0,2014
Advertising,250000.0,,,1,1,2008.0,2008.0,2008
Human Resources,1900000.0,USA,VA,2,1,2014.0,2014.0,2015
unknown,2000000.0,,,1,0,2010.0,2014.0,2014
unknown,2000000.0,,,1,1,2010.0,2014.0,2014
Messaging,1000000.0,USA,IL,4,1,2007.0,2009.0,2011
Big Data,525000.0,,,1,1,2010.0,2015.0,2015
Curated Web,6760000.0,USA,CA,2,0,2007.0,2010.0,2012
Advertising,17998631.0,USA,CA,5,1,2008.0,2009.0,2014
B2B,1585623.67864693,,,1,1,2011.0,2012.0,2012
Distribution,70000.0,RUS,48,1,0,2012.0,2012.0,2012
E-Commerce,2000000.0,USA,MI,1,1,1992.0,2009.0,2009
Advertising,15000000.0,,,1,1,2010.0,2011.0,2011
Consumer Electronics,4000000.0,USA,CA,2,1,2014.0,2014.0,2014
SaaS,67567.0,,,1,0,2014.0,2013.0,2013
E-Commerce,60000.0,ITA,7,1,1,2015.0,2015.0,2015
Collaboration,400000.0,BRA,26,1,1,2012.0,2013.0,2013
unknown,2000000.0,FRA,A8,2,0,2010.0,2013.0,2014
Crowdsourcing,81500000.0,ISR,2,4,1,2011.0,2012.0,2015
Cloud Computing,1318679.0,BEL,12,3,1,2012.0,2013.0,2014
Transportation,2000000.0,IND,7,1,1,2014.0,2015.0,2015
E-Commerce,2000000.0,USA,CA,2,1,2013.0,2013.0,2014
Apps,16700000.0,USA,CA,2,1,2010.0,2009.0,2013
unknown,2000000.0,,,1,0,2014.0,2015.0,2015
Software,109018.0,DEU,2,1,1,2008.0,2008.0,2008
Games,41250.0,,,1,1,2013.0,2014.0,2014
Advertising,2250000.0,CAN,ON,1,1,2012.0,2013.0,2013
Analytics,430855.0,GBR,H9,2,0,2010.0,2010.0,2011
Messaging,1000000.0,,,1,1,2010.0,2012.0,2012
Hardware + Software,1000000.0,USA,CA,2,1,2005.0,2006.0,2010
E-Commerce,16645.0,GBR,H9,1,1,2014.0,2014.0,2014
Distribution,68000.0,USA,CA,2,1,2011.0,2011.0,2012
Mobile,6059507.04782396,GBR,H9,3,1,2012.0,2012.0,2013
Customer Service,374157.957825345,FIN,13,2,0,2015.0,2015.0,2015
Enterprise Software,2238055.0,USA,WA,2,0,2010.0,2011.0,2011
Advertising,18500000.0,USA,CA,4,1,2010.0,2010.0,2012
Software,2203000.0,USA,NY,2,1,2009.0,2011.0,2011
Banking,45958.0,IRL,7,1,1,2007.0,2014.0,2014
Delivery,2000000.0,USA,DC,1,1,2011.0,2012.0,2012
Public Relations,120000.0,USA,NM,1,1,2010.0,2009.0,2009
Mobile,100000.0,USA,VA,1,1,1984.0,1984.0,1984
unknown,43000000.0,,,1,1,2010.0,1999.0,1999
Manufacturing,15000000.0,TWN,,2,1,2010.0,2013.0,2015
Healthcare Services,3410000.0,USA,CA,2,1,2013.0,2015.0,2015
Marketing Automation,17000000.0,GBR,H9,1,1,2002.0,2015.0,2015
B2B,225000.0,USA,CA,1,1,2012.0,2014.0,2014
Software,20000000.0,CAN,ON,2,1,2007.0,2007.0,2010
All Markets,2000000.0,,,1,1,2010.0,2010.0,2010
E-Commerce,2000000.0,POL,77,1,1,2008.0,2011.0,2011
Finance,4125000.0,USA,MA,1,1,2001.0,2005.0,2005
Business Intelligence,21000000.0,USA,VA,1,1,1998.0,2000.0,2000
Banking,20000.0,UKR,13,1,1,2014.0,2015.0,2015
Hospitality,8000000.0,USA,MN,1,1,2010.0,2014.0,2014
Education,55100.0,,,1,0,2011.0,2015.0,2015
Clean Technology,930000.0,GBR,F2,1,0,2002.0,2008.0,2008
Clean Technology,38200000.0,CAN,ON,4,1,2007.0,2009.0,2011
Consulting,4822000.0,USA,VA,1,1,1998.0,2014.0,2014
Cosmetics,2000000.0,USA,FL,1,1,2007.0,2014.0,2014
Accounting,1000000.0,POL,82,1,1,2008.0,2011.0,2011
Services,2000000.0,USA,OH,1,0,2010.0,2008.0,2008
Manufacturing,68897.0,DEU,16,1,1,2010.0,2014.0,2014
Games,8246289.0,CHN,23,2,1,2013.0,2013.0,2014
unknown,2000000.0,FRA,A8,3,1,2010.0,2012.0,2014
Analytics,1100000.0,USA,NY,1,1,2008.0,2013.0,2013
Investment Management,91000000.0,USA,IL,1,1,1984.0,1999.0,1999
Software,2000000.0,USA,IN,1,1,2010.0,2013.0,2013
Cloud Computing,22750000.0,USA,CA,6,1,2007.0,2008.0,2015
Gift Card,20000.0,USA,OH,2,1,2012.0,2012.0,2012
Health and Wellness,2000000.0,USA,CA,1,1,2010.0,2013.0,2013
Cyber,10000000.0,USA,OH,1,1,2015.0,2015.0,2015
Software,7000000.0,ISR,,1,1,2014.0,2015.0,2015
Semiconductors,11540000.0,USA,CA,2,1,2000.0,2005.0,2008
Energy,25000.0,,,1,1,2010.0,2015.0,2015
Biotechnology,126000000.0,DEU,13,1,1,1992.0,2013.0,2013
Innovation Management,26000000.0,USA,PA,1,1,2010.0,2004.0,2004
Consumer Goods,1920000.0,USA,NY,2,1,2014.0,2014.0,2015
Biotechnology,2434000.0,GBR,H9,2,1,2010.0,2012.0,2013
Transportation,2000000.0,USA,TN,1,1,2011.0,2011.0,2011
Biotechnology,1175735.0,USA,IN,1,1,2010.0,2009.0,2009
Software,300000.0,USA,NY,1,1,2010.0,2015.0,2015
Consumers,800000.0,USA,IL,1,1,2013.0,2014.0,2014
Security,1000000.0,USA,CA,1,1,2010.0,2013.0,2013
Big Data,3150000.0,USA,NY,4,1,2011.0,2012.0,2013
Banking,250000.0,USA,OH,2,1,2013.0,2013.0,2015
Commercial Real Estate,1750000.0,USA,NC,1,1,2010.0,2001.0,2001
Biotechnology,3300000.0,GBR,X7,1,1,2004.0,2010.0,2010
Brand Marketing,1000000.0,USA,MD,1,1,2009.0,2010.0,2010
Audio,291375.0,ESP,60,1,1,2000.0,2003.0,2003
Biotechnology,3274000.0,USA,CO,2,0,2010.0,2011.0,2014
Real Estate,2000000.0,USA,NY,1,1,2010.0,2013.0,2013
3D Printing,82803.0,,,1,1,2014.0,2015.0,2015
Cloud Computing,1542844.0,USA,NH,3,0,2011.0,2012.0,2014
Fruit,1000000.0,IND,16,2,1,2008.0,2013.0,2015
Agriculture,90000.0,GEO,19,2,1,2015.0,2015.0,2015
Aerospace,1000000.0,USA,VT,1,1,1996.0,2014.0,2014
Software,50000.0,,,1,1,2010.0,2011.0,2011
Media,6814196.0,CHN,23,2,1,2014.0,2014.0,2015
Curated Web,5700000.0,USA,WA,3,1,2009.0,2010.0,2011
Clean Technology,92500000.0,IND,7,1,1,2010.0,2008.0,2008
Content,60000.0,MEX,15,1,1,2010.0,2012.0,2012
Apps,35000.0,USA,FL,1,1,2015.0,2015.0,2015
Food Processing,2000000.0,USA,FL,1,1,2015.0,2015.0,2015
Games,14688086.0,CHN,30,3,1,2010.0,2008.0,2010
Manufacturing,1500000.0,USA,CO,1,0,2010.0,2012.0,2012
unknown,2000000.0,USA,TX,1,1,2015.0,2015.0,2015
Cloud Computing,2000000.0,USA,TX,1,1,2010.0,2007.0,2007
Analytics,11440911.0,USA,WA,5,1,2009.0,2010.0,2013
Analytics,500000.0,USA,NY,1,1,2014.0,2014.0,2014
unknown,2000000.0,,,1,0,2013.0,2015.0,2015
Mobile,2000000.0,SWE,26,2,1,2004.0,2007.0,2009
Automotive,9500000.0,USA,CA,3,1,2008.0,2008.0,2011
Mobile,1999999.0,USA,CA,2,1,2010.0,2009.0,2010
Health and Wellness,3450000.0,USA,CA,3,1,2010.0,2011.0,2013
Biotechnology,2870000.0,USA,NY,2,1,2010.0,2006.0,2007
Brokers,126500000.0,USA,CA,6,1,2010.0,2011.0,2015
Curated Web,20000.0,UKR,12,1,1,2012.0,2012.0,2012
Games,22500000.0,USA,WA,3,1,2010.0,2012.0,2014
Biotechnology,646551.0,DNK,17,2,1,2011.0,2011.0,2014
Design,5800000.0,GBR,H9,2,1,2011.0,2013.0,2014
unknown,2000000.0,,,1,1,2014.0,2015.0,2015
Software,47799995.0,USA,TX,4,1,2001.0,2003.0,2009
Software,2000000.0,USA,CA,1,1,2011.0,2012.0,2012
Retail,160000.0,CHL,12,2,1,2010.0,2011.0,2012
Manufacturing,1000000.0,CAN,QC,1,1,2013.0,2014.0,2014
Film,136726.583293835,,,1,0,2014.0,2014.0,2014
Fitness,17000.0,USA,MD,1,1,2012.0,2013.0,2013
EdTech,500000.0,USA,CA,3,1,2010.0,2011.0,2013
Mining Technologies,2000000.0,CAN,BC,1,1,1999.0,2015.0,2015
Fitness,30736562.0,,,1,0,1995.0,2015.0,2015
unknown,2000000.0,USA,MA,1,1,2010.0,1998.0,1998
Internet,2000000.0,USA,CA,1,1,1956.0,2015.0,2015
Digital Media,50000.0,USA,NY,1,1,2010.0,2014.0,2014
Advertising,15700000.0,JPN,40,1,1,1998.0,2008.0,2008
Games,17200000.0,USA,NY,3,1,2006.0,2006.0,2009
Computer Vision,2000000.0,USA,CA,3,1,2005.0,2007.0,2014
E-Commerce,2000000.0,SGP,,1,1,2010.0,2015.0,2015
Services,2000000.0,,,1,1,2010.0,2009.0,2009
Software,2000000.0,DEU,2,1,1,2010.0,2011.0,2011
Analytics,2000000.0,USA,CA,1,1,2010.0,2010.0,2010
Hardware + Software,150000.0,GBR,H9,2,0,2013.0,2012.0,2014
Business Services,8000000.0,USA,FL,1,1,2000.0,2014.0,2014
SaaS,500000.0,USA,NY,5,1,2013.0,2014.0,2015
Software,21799976.0,USA,MD,5,1,1985.0,2010.0,2014
Analytics,11800000.0,USA,CA,2,1,2007.0,2011.0,2014
Hardware + Software,1220000.0,USA,CA,2,1,2013.0,2014.0,2015
Enterprise Software,3450000.0,USA,FL,3,1,1999.0,2005.0,2011
Software,6000.0,POL,78,1,1,2010.0,2010.0,2010
Consulting,2000000.0,USA,TX,1,1,2013.0,2014.0,2014
Automotive,15652000.0,USA,CA,3,1,2009.0,2010.0,2015
Software,3750000.0,USA,CA,3,1,2010.0,2011.0,2013
Software,2000000.0,USA,TX,1,1,2010.0,2011.0,2011
Travel,2000000.0,NGA,11,1,1,2011.0,2014.0,2014
Sports,600000.0,USA,MO,1,1,2010.0,2014.0,2014
E-Commerce,650100.0,ESP,56,1,1,2010.0,2012.0,2012
Automotive,2000000.0,USA,GA,1,1,2011.0,2014.0,2014
Mobile,15000000.0,USA,CA,1,1,2010.0,2011.0,2011
Automotive,55187.0,IND,19,1,1,2012.0,2015.0,2015
Automotive,2000000.0,USA,CA,1,1,2005.0,2015.0,2015
E-Commerce,5000000.0,CHN,23,2,1,2007.0,2007.0,2011
Automotive,160000.0,USA,CA,1,1,2007.0,2007.0,2007
Automotive,2000000.0,USA,IN,1,1,2010.0,2009.0,2009
Automotive,842786.0,GBR,N2,1,1,2010.0,2014.0,2014
Automotive,25000.0,ARG,7,1,1,2011.0,2015.0,2015
Public Safety,1000000000.0,USA,IL,1,1,1928.0,2015.0,2015
